bien_id,com_code,bien_type,bien_carrez_1,bien_surfbat,bien_numpieces
02408BT258107,2408,Maison,78.3,82,4
02408AV80430,2408,Appartement,88.5,90,5
02408AC1597,2408,Appartement,24.05,27,1
02755AB782,2755,Maison,92.54,92,4
02173AK2153,2173,Appartement,60.05,62,3
02408AV80426,2408,Appartement,89.0,90,5
02408AC2565,2408,Appartement,23.86,27,1
02680AN1147,2680,Appartement,25.0,64,3
02738AB4652,2738,Appartement,148.41,155,5
02408BT25853,2408,Appartement,47.44,48,2
02408BT258102,2408,Maison,80.14,90,4
02408BT25824,2408,Appartement,53.42,53,3
02318B12813,2318,Appartement,66.36,67,3
02408AE24322,2408,Appartement,28.13,29,1
02408CK3182,2408,Maison,88.14,119,4
02408AN473,2408,Appartement,77.91,76,3
02408AC2563,2408,Appartement,26.4,27,1
02691AH15,2691,Appartement,119.4,122,4
02691AD372106,2691,Appartement,33.49,32,1
02691AB997,2691,Appartement,96.4,127,4
02691AS30234,2691,Appartement,53.22,52,2
02722AM18624,2722,Appartement,142.98,143,5
02226AA4131,2226,Appartement,50.16,43,2
02722AN18110,2722,Appartement,108.49,127,4
02722AN4611,2722,Appartement,29.16,29,1
02722AZ17837,2722,Maison,79.27,81,4
02722AL882,2722,Appartement,64.21,67,4
02722AD29629,2722,Appartement,121.9,122,5
02795AB4171,2795,Maison,145.28,145,4
02795AD508,2795,Appartement,49.99,49,3
02810AH61758,2810,Appartement,58.67,58,2
02410A122410,2410,Maison,55.74,50,3
02810AC61613,2810,Appartement,77.56,77,5
02722AI211,2722,Appartement,49.33,48,2
02722AE1155,2722,Appartement,47.02,36,3
02722AH441,2722,Appartement,37.18,75,2
02537ZH451,2537,Maison,106.0,109,6
02758AA2461,2758,Maison,39.62,64,3
02810AD122,2810,Appartement,81.62,81,4
02722BW7235,2722,Appartement,41.42,44,1
02722AH2121006,2722,Appartement,62.15,83,3
02722AH21017,2722,Appartement,59.81,59,4
02722AK11138,2722,Appartement,20.45,26,1
02810AB43018,2810,Appartement,89.56,86,3
02201AB343,2201,Maison,570.0,110,6
02810AC734,2810,Appartement,21.4,21,1
02722BS4017,2722,Appartement,49.46,57,2
02722BS4023,2722,Appartement,45.12,44,2
02722BW6922,2722,Appartement,68.95,72,3
02064AA9537,2064,Appartement,76.95,76,3
02722AR1054,2722,Appartement,72.93,72,2
02722CT10514,2722,Appartement,65.9,64,3
02722AI17421,2722,Appartement,31.84,32,2
02810AC736,2810,Appartement,20.69,23,1
02722CS2486,2722,Appartement,29.36,33,1
02810AC2481,2810,Appartement,67.85,54,3
02810BL2421,2810,Appartement,51.07,42,3
02722AP5020,2722,Appartement,29.21,30,1
02722CS2495,2722,Appartement,23.7,25,1
02722BW7218,2722,Appartement,73.94,75,3
02201AB341,2201,Maison,93.89,110,6
02722BS4014,2722,Appartement,68.37,67,3
02722BS401,2722,Appartement,73.65,73,3
02722AN1611,2722,Appartement,31.62,32,1
02168AW31218,2168,Appartement,60.2,60,3
02168AB934,2168,Appartement,48.5,54,3
